grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003000,202625140003000,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003001,202625140003001,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003002,202625140003002,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003003,202625140003003,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003004,202625140003004,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003005,202625140003005,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003006,202625140003006,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003007,202625140003007,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003008,202625140003008,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140003009,202625140003009,umalliq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010000,202625140010000,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010001,202625140010001,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010002,202625140010002,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010003,202625140010003,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010004,202625140010004,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010005,202625140010005,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010006,202625140010006,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010007,202625140010007,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010008,202625140010008,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,CEO,pollinations/flux|gn|MULTI|CEO,pollinations/flux|gn|MULTI|CEO,pollinations_flux__CEO__202625140010009,202625140010009,sãmbyhyha,ok,10,0,10,robustness|pollinations/flux|gn,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013000,202625140013000,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013001,202625140013001,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013002,202625140013002,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013003,202625140013003,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013004,202625140013004,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013005,202625140013005,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013006,202625140013006,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013007,202625140013007,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013008,202625140013008,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|CEO,stabilityai_stable-diffusion-3.5-medium__CEO__202625140013009,202625140013009,sãmbyhyha,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100000,202625140100000,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100001,202625140100001,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100002,202625140100002,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100003,202625140100003,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100004,202625140100004,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100005,202625140100005,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100006,202625140100006,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100007,202625140100007,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100008,202625140100008,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,doctor,pollinations/flux|qu|MULTI|doctor,pollinations/flux|qu|MULTI|doctor,pollinations_flux__doctor__202625140100009,202625140100009,hampi kamayuq,ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103000,202625140103000,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103001,202625140103001,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103002,202625140103002,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103003,202625140103003,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103004,202625140103004,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103005,202625140103005,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103006,202625140103006,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103007,202625140103007,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103008,202625140103008,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,qu,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|qu|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140103009,202625140103009,hampi kamayuq,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|qu,0,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110000,202625140110000,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110001,202625140110001,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110002,202625140110002,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110003,202625140110003,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110004,202625140110004,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110005,202625140110005,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110006,202625140110006,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110007,202625140110007,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110008,202625140110008,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,3,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,gn,MULTI,doctor,pollinations/flux|gn|MULTI|doctor,pollinations/flux|gn|MULTI|doctor,pollinations_flux__doctor__202625140110009,202625140110009,pohanohára,ok,10,0,10,robustness|pollinations/flux|gn,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140113000,202625140113000,pohanohára,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140113001,202625140113001,pohanohára,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,2,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140113002,202625140113002,pohanohára,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,3,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
robustness,stabilityai/stable-diffusion-3.5-medium,local_diffusers,gn,MULTI,doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai/stable-diffusion-3.5-medium|gn|MULTI|doctor,stabilityai_stable-diffusion-3.5-medium__doctor__202625140113003,202625140113003,pohanohára,ok,10,0,10,robustness|stabilityai/stable-diffusion-3.5-medium|gn,1,4,colab,images/main/metadata_colab_<run_id>.parquet,images/main
