grid,model,backend,language,country,occupation,prompt_id,cell_id,image_id,seed,prompt,prompt_status,target_n,current_n,missing_n,shard_group,shard_id,n_shards,recommended_runner,output_metadata_path,output_image_dir
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000000,202625140000000,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000001,202625140000001,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000002,202625140000002,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000003,202625140000003,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000004,202625140000004,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000005,202625140000005,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000006,202625140000006,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,2,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000007,202625140000007,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000008,202625140000008,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,1,4,local,images/main/metadata_local_<run_id>.parquet,images/main
robustness,pollinations/flux,pollinations,qu,MULTI,CEO,pollinations/flux|qu|MULTI|CEO,pollinations/flux|qu|MULTI|CEO,pollinations_flux__CEO__202625140000009,202625140000009,umalliq,ok,10,0,10,robustness|pollinations/flux|qu,0,4,local,images/main/metadata_local_<run_id>.parquet,images/main
